"V1" "V2" "V3"
"319" 2 52 22
"320" 4 61 22
"321" 16 78 22
"322" 17 75 22
"323" 18 70 22
"324" 20 65 22
"325" 21 61 22
"326" 72 40 22
"327" 1 46 21
"328" 5 65 21
"329" 19 63 21
"330" 70 22 21
"331" 23 52 20
"332" 13 86 18
"333" 20 59 18
"334" 27 18 17
"335" 29 4 17
"336" 9 83 16
"337" 25 40 16
"338" 72 44 13
"339" 10 74 12
"340" 17 79 12
"341" 28 11 12
"342" 28 20 12
"343" 29 13 11
"344" 2 46 9
"345" 4 56 9
"346" 11 75 9
"347" 1 50 8
"348" 27 27 8
"349" 11 86 7
"350" 30 6 7
"351" 15 84 6
"352" 8 70 5
"353" 19 72 5
"354" 6 64 3
"355" 7 78 3
"356" 10 85 3
"357" 69 15 3
"358" 71 38 3
"359" 8 81 2
"360" 16 82 2
"361" 67 11 2
"362" 68 18 2
"363" 17 69 1
"364" 18 76 1
"365" 25 31 1
"366" 1 1 0
"367" 1 2 0
"368" 1 3 0
"369" 1 4 0
"370" 1 5 0
"371" 1 6 0
"372" 1 7 0
"373" 1 8 0
"374" 1 9 0
"375" 1 10 0
"376" 1 11 0
"377" 1 12 0
"378" 1 13 0
"379" 1 14 0
"380" 1 15 0
"381" 1 16 0
"382" 1 17 0
"383" 1 18 0
"384" 1 19 0
"385" 1 20 0
"386" 1 21 0
"387" 1 22 0
"388" 1 23 0
"389" 1 24 0
"390" 1 25 0
"391" 1 26 0
"392" 1 27 0
"393" 1 28 0
"394" 1 29 0
"395" 1 30 0
"396" 1 31 0
"397" 1 32 0
"398" 1 33 0
"399" 1 34 0
"400" 1 35 0
"401" 1 36 0
"402" 1 37 0
"403" 1 38 0
"404" 1 39 0
"405" 1 40 0
"406" 1 51 0
"407" 1 52 0
"408" 1 53 0
"409" 1 54 0
"410" 1 55 0
"411" 1 56 0
"412" 1 57 0
"413" 1 58 0
"414" 1 59 0
"415" 1 60 0
"416" 1 61 0
"417" 1 62 0
"418" 1 63 0
"419" 1 64 0
"420" 1 65 0
"421" 1 66 0
"422" 1 67 0
"423" 1 68 0
"424" 1 69 0
"425" 1 70 0
"426" 1 71 0
"427" 1 72 0
"428" 1 73 0
"429" 1 74 0
"430" 1 75 0
"431" 1 76 0
"432" 1 77 0
"433" 1 78 0
"434" 1 79 0
"435" 1 80 0
"436" 1 81 0
"437" 1 82 0
"438" 1 83 0
"439" 1 84 0
"440" 1 85 0
"441" 1 86 0
"442" 1 87 0
"443" 2 1 0
"444" 2 2 0
"445" 2 3 0
"446" 2 4 0
"447" 2 5 0
"448" 2 6 0
"449" 2 7 0
"450" 2 8 0
"451" 2 9 0
"452" 2 10 0
"453" 2 11 0
"454" 2 12 0
"455" 2 13 0
"456" 2 14 0
"457" 2 15 0
"458" 2 16 0
"459" 2 17 0
"460" 2 18 0
"461" 2 19 0
"462" 2 20 0
"463" 2 21 0
"464" 2 22 0
"465" 2 23 0
"466" 2 24 0
"467" 2 25 0
"468" 2 26 0
"469" 2 27 0
"470" 2 28 0
"471" 2 29 0
"472" 2 30 0
"473" 2 31 0
"474" 2 32 0
"475" 2 33 0
"476" 2 34 0
"477" 2 35 0
"478" 2 36 0
"479" 2 37 0
"480" 2 38 0
"481" 2 39 0
"482" 2 40 0
"483" 2 41 0
"484" 2 42 0
"485" 2 43 0
"486" 2 44 0
"487" 2 45 0
"488" 2 56 0
"489" 2 57 0
"490" 2 58 0
"491" 2 59 0
"492" 2 60 0
"493" 2 61 0
"494" 2 62 0
"495" 2 63 0
"496" 2 64 0
"497" 2 65 0
"498" 2 66 0
"499" 2 67 0
"500" 2 68 0
"501" 2 69 0
"502" 2 70 0
"503" 2 71 0
"504" 2 72 0
"505" 2 73 0
"506" 2 74 0
"507" 2 75 0
"508" 2 76 0
"509" 2 77 0
"510" 2 78 0
"511" 2 79 0
"512" 2 80 0
"513" 2 81 0
"514" 2 82 0
"515" 2 83 0
"516" 2 84 0
"517" 2 85 0
"518" 2 86 0
"519" 2 87 0
"520" 3 1 0
"521" 3 2 0
"522" 3 3 0
"523" 3 4 0
"524" 3 5 0
"525" 3 6 0
"526" 3 7 0
"527" 3 8 0
"528" 3 9 0
"529" 3 10 0
"530" 3 11 0
"531" 3 12 0
"532" 3 13 0
"533" 3 14 0
"534" 3 15 0
"535" 3 16 0
"536" 3 17 0
"537" 3 18 0
"538" 3 19 0
"539" 3 20 0
"540" 3 21 0
"541" 3 22 0
"542" 3 23 0
"543" 3 24 0
"544" 3 25 0
"545" 3 26 0
"546" 3 27 0
"547" 3 28 0
"548" 3 29 0
"549" 3 30 0
"550" 3 31 0
"551" 3 32 0
"552" 3 33 0
"553" 3 34 0
"554" 3 35 0
"555" 3 36 0
"556" 3 37 0
"557" 3 38 0
"558" 3 39 0
"559" 3 40 0
"560" 3 41 0
"561" 3 42 0
"562" 3 43 0
"563" 3 44 0
"564" 3 45 0
"565" 3 46 0
"566" 3 47 0
"567" 3 48 0
"568" 3 49 0
"569" 3 50 0
"570" 3 51 0
"571" 3 61 0
"572" 3 62 0
"573" 3 63 0
"574" 3 64 0
"575" 3 65 0
"576" 3 66 0
"577" 3 67 0
"578" 3 68 0
"579" 3 69 0
"580" 3 70 0
"581" 3 71 0
"582" 3 72 0
"583" 3 73 0
"584" 3 74 0
"585" 3 75 0
"586" 3 76 0
"587" 3 77 0
"588" 3 78 0
"589" 3 79 0
"590" 3 80 0
"591" 3 81 0
"592" 3 82 0
"593" 3 83 0
"594" 3 84 0
"595" 3 85 0
"596" 3 86 0
"597" 3 87 0
"598" 4 1 0
"599" 4 2 0
"600" 4 3 0
"601" 4 4 0
"602" 4 5 0
"603" 4 6 0
"604" 4 7 0
"605" 4 8 0
"606" 4 9 0
"607" 4 10 0
"608" 4 11 0
"609" 4 12 0
"610" 4 13 0
"611" 4 14 0
"612" 4 15 0
"613" 4 16 0
"614" 4 17 0
"615" 4 18 0
"616" 4 19 0
"617" 4 20 0
"618" 4 21 0
"619" 4 22 0
"620" 4 23 0
"621" 4 24 0
"622" 4 25 0
"623" 4 26 0
"624" 4 27 0
"625" 4 28 0
"626" 4 29 0
"627" 4 30 0
"628" 4 31 0
"629" 4 32 0
"630" 4 33 0
"631" 4 34 0
"632" 4 35 0
"633" 4 36 0
"634" 4 37 0
"635" 4 38 0
"636" 4 39 0
"637" 4 40 0
"638" 4 41 0
"639" 4 42 0
"640" 4 43 0
"641" 4 44 0
"642" 4 45 0
"643" 4 46 0
"644" 4 47 0
"645" 4 48 0
"646" 4 49 0
"647" 4 50 0
"648" 4 51 0
"649" 4 52 0
"650" 4 53 0
"651" 4 54 0
"652" 4 55 0
"653" 4 66 0
"654" 4 67 0
"655" 4 68 0
"656" 4 69 0
"657" 4 70 0
"658" 4 71 0
"659" 4 72 0
"660" 4 73 0
"661" 4 74 0
"662" 4 75 0
"663" 4 76 0
"664" 4 77 0
"665" 4 78 0
"666" 4 79 0
"667" 4 80 0
"668" 4 81 0
"669" 4 82 0
"670" 4 83 0
"671" 4 84 0
"672" 4 85 0
"673" 4 86 0
"674" 4 87 0
"675" 5 1 0
"676" 5 2 0
"677" 5 3 0
"678" 5 4 0
"679" 5 5 0
"680" 5 6 0
"681" 5 7 0
"682" 5 8 0
"683" 5 9 0
"684" 5 10 0
"685" 5 11 0
"686" 5 12 0
"687" 5 13 0
"688" 5 14 0
"689" 5 15 0
"690" 5 16 0
"691" 5 17 0
"692" 5 18 0
"693" 5 19 0
"694" 5 20 0
"695" 5 21 0
"696" 5 22 0
"697" 5 23 0
"698" 5 24 0
"699" 5 25 0
"700" 5 26 0
"701" 5 27 0
"702" 5 28 0
"703" 5 29 0
"704" 5 30 0
"705" 5 31 0
"706" 5 32 0
"707" 5 33 0
"708" 5 34 0
"709" 5 35 0
"710" 5 36 0
"711" 5 37 0
"712" 5 38 0
"713" 5 39 0
"714" 5 40 0
"715" 5 41 0
"716" 5 42 0
"717" 5 43 0
"718" 5 44 0
"719" 5 45 0
"720" 5 46 0
"721" 5 47 0
"722" 5 48 0
"723" 5 49 0
"724" 5 50 0
"725" 5 51 0
"726" 5 52 0
"727" 5 53 0
"728" 5 54 0
"729" 5 55 0
"730" 5 56 0
"731" 5 57 0
"732" 5 58 0
"733" 5 59 0
"734" 5 60 0
"735" 5 71 0
"736" 5 72 0
"737" 5 73 0
"738" 5 74 0
"739" 5 75 0
"740" 5 76 0
"741" 5 77 0
"742" 5 78 0
"743" 5 79 0
"744" 5 80 0
"745" 5 81 0
"746" 5 82 0
"747" 5 83 0
"748" 5 84 0
"749" 5 85 0
"750" 5 86 0
"751" 5 87 0
"752" 6 1 0
"753" 6 2 0
"754" 6 3 0
"755" 6 4 0
"756" 6 5 0
"757" 6 6 0
"758" 6 7 0
"759" 6 8 0
"760" 6 9 0
"761" 6 10 0
"762" 6 11 0
"763" 6 12 0
"764" 6 13 0
"765" 6 14 0
"766" 6 15 0
"767" 6 16 0
"768" 6 17 0
"769" 6 18 0
"770" 6 19 0
"771" 6 20 0
"772" 6 21 0
"773" 6 22 0
"774" 6 23 0
"775" 6 24 0
"776" 6 25 0
"777" 6 26 0
"778" 6 27 0
"779" 6 28 0
"780" 6 29 0
"781" 6 30 0
"782" 6 31 0
"783" 6 32 0
"784" 6 33 0
"785" 6 34 0
"786" 6 35 0
"787" 6 36 0
"788" 6 37 0
"789" 6 38 0
"790" 6 39 0
"791" 6 40 0
"792" 6 41 0
"793" 6 42 0
"794" 6 43 0
"795" 6 44 0
"796" 6 45 0
"797" 6 46 0
"798" 6 47 0
"799" 6 48 0
"800" 6 49 0
"801" 6 50 0
"802" 6 51 0
"803" 6 52 0
"804" 6 53 0
"805" 6 54 0
"806" 6 55 0
"807" 6 56 0
"808" 6 57 0
"809" 6 58 0
"810" 6 59 0
"811" 6 60 0
"812" 6 61 0
"813" 6 62 0
"814" 6 63 0
"815" 6 75 0
"816" 6 76 0
"817" 6 77 0
"818" 6 78 0
"819" 6 79 0
"820" 6 80 0
"821" 6 81 0
"822" 6 82 0
"823" 6 83 0
"824" 6 84 0
"825" 6 85 0
"826" 6 86 0
"827" 6 87 0
"828" 7 1 0
"829" 7 2 0
"830" 7 3 0
"831" 7 4 0
"832" 7 5 0
"833" 7 6 0
"834" 7 7 0
"835" 7 8 0
"836" 7 9 0
"837" 7 10 0
"838" 7 11 0
"839" 7 12 0
"840" 7 13 0
"841" 7 14 0
"842" 7 15 0
"843" 7 16 0
"844" 7 17 0
"845" 7 18 0
"846" 7 19 0
"847" 7 20 0
"848" 7 21 0
"849" 7 22 0
"850" 7 23 0
"851" 7 24 0
"852" 7 25 0
"853" 7 26 0
"854" 7 27 0
"855" 7 28 0
"856" 7 29 0
"857" 7 30 0
"858" 7 31 0
"859" 7 32 0
"860" 7 33 0
"861" 7 34 0
"862" 7 35 0
"863" 7 36 0
"864" 7 37 0
"865" 7 38 0
"866" 7 39 0
"867" 7 40 0
"868" 7 41 0
"869" 7 42 0
"870" 7 43 0
"871" 7 44 0
"872" 7 45 0
"873" 7 46 0
"874" 7 47 0
"875" 7 48 0
"876" 7 49 0
"877" 7 50 0
"878" 7 51 0
"879" 7 52 0
"880" 7 53 0
"881" 7 54 0
"882" 7 55 0
"883" 7 56 0
"884" 7 57 0
"885" 7 58 0
"886" 7 59 0
"887" 7 60 0
"888" 7 61 0
"889" 7 62 0
"890" 7 63 0
"891" 7 64 0
"892" 7 65 0
"893" 7 66 0
"894" 7 67 0
"895" 7 79 0
"896" 7 80 0
"897" 7 81 0
"898" 7 82 0
"899" 7 83 0
"900" 7 84 0
"901" 7 85 0
"902" 7 86 0
"903" 7 87 0
"904" 8 1 0
"905" 8 2 0
"906" 8 3 0
"907" 8 4 0
"908" 8 5 0
"909" 8 6 0
"910" 8 7 0
"911" 8 8 0
"912" 8 9 0
"913" 8 10 0
"914" 8 11 0
"915" 8 12 0
"916" 8 13 0
"917" 8 14 0
"918" 8 15 0
"919" 8 16 0
"920" 8 17 0
"921" 8 18 0
"922" 8 19 0
"923" 8 20 0
"924" 8 21 0
"925" 8 22 0
"926" 8 23 0
"927" 8 24 0
"928" 8 25 0
"929" 8 26 0
"930" 8 27 0
"931" 8 28 0
"932" 8 29 0
"933" 8 30 0
"934" 8 31 0
"935" 8 32 0
"936" 8 33 0
"937" 8 34 0
"938" 8 35 0
"939" 8 36 0
"940" 8 37 0
"941" 8 38 0
"942" 8 39 0
"943" 8 40 0
"944" 8 41 0
"945" 8 42 0
"946" 8 43 0
"947" 8 44 0
"948" 8 45 0
"949" 8 46 0
"950" 8 47 0
"951" 8 48 0
"952" 8 49 0
"953" 8 50 0
"954" 8 51 0
"955" 8 52 0
"956" 8 53 0
"957" 8 54 0
"958" 8 55 0
"959" 8 56 0
"960" 8 57 0
"961" 8 58 0
"962" 8 59 0
"963" 8 60 0
"964" 8 61 0
"965" 8 62 0
"966" 8 63 0
"967" 8 64 0
"968" 8 65 0
"969" 8 66 0
"970" 8 67 0
"971" 8 68 0
"972" 8 69 0
"973" 8 82 0
"974" 8 83 0
"975" 8 84 0
"976" 8 85 0
"977" 8 86 0
"978" 8 87 0
"979" 9 1 0
"980" 9 2 0
"981" 9 3 0
"982" 9 4 0
"983" 9 5 0
"984" 9 6 0
"985" 9 7 0
"986" 9 8 0
"987" 9 9 0
"988" 9 10 0
"989" 9 11 0
"990" 9 12 0
"991" 9 13 0
"992" 9 14 0
"993" 9 15 0
"994" 9 16 0
"995" 9 17 0
"996" 9 18 0
"997" 9 19 0
"998" 9 20 0
"999" 9 21 0
"1000" 9 22 0
"1001" 9 23 0
"1002" 9 24 0
"1003" 9 25 0
"1004" 9 26 0
"1005" 9 27 0
"1006" 9 28 0
"1007" 9 29 0
"1008" 9 30 0
"1009" 9 31 0
"1010" 9 32 0
"1011" 9 33 0
"1012" 9 34 0
"1013" 9 35 0
"1014" 9 36 0
"1015" 9 37 0
"1016" 9 38 0
"1017" 9 39 0
"1018" 9 40 0
"1019" 9 41 0
"1020" 9 42 0
"1021" 9 43 0
"1022" 9 44 0
"1023" 9 45 0
"1024" 9 46 0
"1025" 9 47 0
"1026" 9 48 0
"1027" 9 49 0
"1028" 9 50 0
"1029" 9 51 0
"1030" 9 52 0
"1031" 9 53 0
"1032" 9 54 0
"1033" 9 55 0
"1034" 9 56 0
"1035" 9 57 0
"1036" 9 58 0
"1037" 9 59 0
"1038" 9 60 0
"1039" 9 61 0
"1040" 9 62 0
"1041" 9 63 0
"1042" 9 64 0
"1043" 9 65 0
"1044" 9 66 0
"1045" 9 67 0
"1046" 9 68 0
"1047" 9 69 0
"1048" 9 70 0
"1049" 9 71 0
"1050" 9 72 0
"1051" 9 84 0
"1052" 9 85 0
"1053" 9 86 0
"1054" 9 87 0
"1055" 10 1 0
"1056" 10 2 0
"1057" 10 3 0
"1058" 10 4 0
"1059" 10 5 0
"1060" 10 6 0
"1061" 10 7 0
"1062" 10 8 0
"1063" 10 9 0
"1064" 10 10 0
"1065" 10 11 0
"1066" 10 12 0
"1067" 10 13 0
"1068" 10 14 0
"1069" 10 15 0
"1070" 10 16 0
"1071" 10 17 0
"1072" 10 18 0
"1073" 10 19 0
"1074" 10 20 0
"1075" 10 21 0
"1076" 10 22 0
"1077" 10 23 0
"1078" 10 24 0
"1079" 10 25 0
"1080" 10 26 0
"1081" 10 27 0
"1082" 10 28 0
"1083" 10 29 0
"1084" 10 30 0
"1085" 10 31 0
"1086" 10 32 0
"1087" 10 33 0
"1088" 10 34 0
"1089" 10 35 0
"1090" 10 36 0
"1091" 10 37 0
"1092" 10 38 0
"1093" 10 39 0
"1094" 10 40 0
"1095" 10 41 0
"1096" 10 42 0
"1097" 10 43 0
"1098" 10 44 0
"1099" 10 45 0
"1100" 10 46 0
"1101" 10 47 0
"1102" 10 48 0
"1103" 10 49 0
"1104" 10 50 0
"1105" 10 51 0
"1106" 10 52 0
"1107" 10 53 0
"1108" 10 54 0
"1109" 10 55 0
"1110" 10 56 0
"1111" 10 57 0
"1112" 10 58 0
"1113" 10 59 0
"1114" 10 60 0
"1115" 10 61 0
"1116" 10 62 0
"1117" 10 63 0
"1118" 10 64 0
"1119" 10 65 0
"1120" 10 66 0
"1121" 10 67 0
"1122" 10 68 0
"1123" 10 69 0
"1124" 10 70 0
"1125" 10 71 0
"1126" 10 72 0
"1127" 10 73 0
"1128" 10 86 0
"1129" 10 87 0
"1130" 11 1 0
"1131" 11 2 0
"1132" 11 3 0
"1133" 11 4 0
"1134" 11 5 0
"1135" 11 6 0
"1136" 11 7 0
"1137" 11 8 0
"1138" 11 9 0
"1139" 11 10 0
"1140" 11 11 0
"1141" 11 12 0
"1142" 11 13 0
"1143" 11 14 0
"1144" 11 15 0
"1145" 11 16 0
"1146" 11 17 0
"1147" 11 18 0
"1148" 11 19 0
"1149" 11 20 0
"1150" 11 21 0
"1151" 11 22 0
"1152" 11 23 0
"1153" 11 24 0
"1154" 11 25 0
"1155" 11 26 0
"1156" 11 27 0
"1157" 11 28 0
"1158" 11 29 0
"1159" 11 30 0
"1160" 11 31 0
"1161" 11 32 0
"1162" 11 33 0
"1163" 11 34 0
"1164" 11 35 0
"1165" 11 36 0
"1166" 11 37 0
"1167" 11 38 0
"1168" 11 39 0
"1169" 11 40 0
"1170" 11 41 0
"1171" 11 42 0
"1172" 11 43 0
"1173" 11 44 0
"1174" 11 45 0
"1175" 11 46 0
"1176" 11 47 0
"1177" 11 48 0
"1178" 11 49 0
"1179" 11 50 0
"1180" 11 51 0
"1181" 11 52 0
"1182" 11 53 0
"1183" 11 54 0
"1184" 11 55 0
"1185" 11 56 0
"1186" 11 57 0
"1187" 11 58 0
"1188" 11 59 0
"1189" 11 60 0
"1190" 11 61 0
"1191" 11 62 0
"1192" 11 63 0
"1193" 11 64 0
"1194" 11 65 0
"1195" 11 66 0
"1196" 11 67 0
"1197" 11 68 0
"1198" 11 69 0
"1199" 11 70 0
"1200" 11 71 0
"1201" 11 72 0
"1202" 11 73 0
"1203" 11 74 0
"1204" 11 87 0
"1205" 12 1 0
"1206" 12 2 0
"1207" 12 3 0
"1208" 12 4 0
"1209" 12 5 0
"1210" 12 6 0
"1211" 12 7 0
"1212" 12 8 0
"1213" 12 9 0
"1214" 12 10 0
"1215" 12 11 0
"1216" 12 12 0
"1217" 12 13 0
"1218" 12 14 0
"1219" 12 15 0
"1220" 12 16 0
"1221" 12 17 0
"1222" 12 18 0
"1223" 12 19 0
"1224" 12 20 0
"1225" 12 21 0
"1226" 12 22 0
"1227" 12 23 0
"1228" 12 24 0
"1229" 12 25 0
"1230" 12 26 0
"1231" 12 27 0
"1232" 12 28 0
"1233" 12 29 0
"1234" 12 30 0
"1235" 12 31 0
"1236" 12 32 0
"1237" 12 33 0
"1238" 12 34 0
"1239" 12 35 0
"1240" 12 36 0
"1241" 12 37 0
"1242" 12 38 0
"1243" 12 39 0
"1244" 12 40 0
"1245" 12 41 0
"1246" 12 42 0
"1247" 12 43 0
"1248" 12 44 0
"1249" 12 45 0
"1250" 12 46 0
"1251" 12 47 0
"1252" 12 48 0
"1253" 12 49 0
"1254" 12 50 0
"1255" 12 51 0
"1256" 12 52 0
"1257" 12 53 0
"1258" 12 54 0
"1259" 12 55 0
"1260" 12 56 0
"1261" 12 57 0
"1262" 12 58 0
"1263" 12 59 0
"1264" 12 60 0
"1265" 12 61 0
"1266" 12 62 0
"1267" 12 63 0
"1268" 12 64 0
"1269" 12 65 0
"1270" 12 66 0
"1271" 12 67 0
"1272" 12 68 0
"1273" 12 69 0
"1274" 12 70 0
"1275" 12 71 0
"1276" 12 72 0
"1277" 12 73 0
"1278" 12 74 0
"1279" 12 75 0
"1280" 12 87 0
"1281" 13 1 0
"1282" 13 2 0
"1283" 13 3 0
"1284" 13 4 0
"1285" 13 5 0
"1286" 13 6 0
"1287" 13 7 0
"1288" 13 8 0
"1289" 13 9 0
"1290" 13 10 0
"1291" 13 11 0
"1292" 13 12 0
"1293" 13 13 0
"1294" 13 14 0
"1295" 13 15 0
"1296" 13 16 0
"1297" 13 17 0
"1298" 13 18 0
"1299" 13 19 0
"1300" 13 20 0
"1301" 13 21 0
"1302" 13 22 0
"1303" 13 23 0
"1304" 13 24 0
"1305" 13 25 0
"1306" 13 26 0
"1307" 13 27 0
"1308" 13 28 0
"1309" 13 29 0
"1310" 13 30 0
"1311" 13 31 0
"1312" 13 32 0
"1313" 13 33 0
"1314" 13 34 0
"1315" 13 35 0
"1316" 13 36 0
"1317" 13 37 0
"1318" 13 38 0
"1319" 13 39 0
"1320" 13 40 0
"1321" 13 41 0
"1322" 13 42 0
"1323" 13 43 0
"1324" 13 44 0
"1325" 13 45 0
"1326" 13 46 0
"1327" 13 47 0
"1328" 13 48 0
"1329" 13 49 0
"1330" 13 50 0
"1331" 13 51 0
"1332" 13 52 0
"1333" 13 53 0
"1334" 13 54 0
"1335" 13 55 0
"1336" 13 56 0
"1337" 13 57 0
"1338" 13 58 0
"1339" 13 59 0
"1340" 13 60 0
"1341" 13 61 0
"1342" 13 62 0
"1343" 13 63 0
"1344" 13 64 0
"1345" 13 65 0
"1346" 13 66 0
"1347" 13 67 0
"1348" 13 68 0
"1349" 13 69 0
"1350" 13 70 0
"1351" 13 71 0
"1352" 13 72 0
"1353" 13 73 0
"1354" 13 74 0
"1355" 13 75 0
"1356" 13 87 0
"1357" 14 1 0
"1358" 14 2 0
"1359" 14 3 0
"1360" 14 4 0
"1361" 14 5 0
