"m.cx" "m.cy" "m.majoraxis" "m.eccentricity" "m.theta"
"1" 237.642857142857 91.1428571428571 53.1076233746727 0.400617369444637 1.29168869741911
"2" 213.323170731707 141.774390243902 57.1146278343561 0.548847110424888 0.292862738256976
"3" 287.693333333333 143.166666666667 53.6924854068626 0.48705151505949 0.19144861503304
"4" 363.110619469027 160.300884955752 79.4281150030742 0.627697356152551 0.557915071622129
"5" 192.796296296296 187.481481481481 55.6094925307416 0.510149635192026 0.310233717841278
"6" 270.426829268293 201.329268292683 65.4771749468367 0.855133441941699 0.439770408536651
"7" 337.030973451327 214.353982300885 78.636330428416 0.637724298365923 0.654888111014902
"8" 157.55421686747 239.692771084337 57.4002768569521 0.430410158385466 -1.54524509827642
"9" 237.660714285714 257.565476190476 57.0623759149637 0.648931085641551 1.53358655755831
"10" 281.480263157895 265.493421052632 52.1686967596542 0.47076446699537 -1.25403717172053
"11" 325.168674698795 271.596385542169 55.7677662652948 0.519798998223725 -0.57134623060336
"12" 127.085526315789 288.414473684211 56.1362579305032 0.688120413941451 -0.924719734960961
"13" 225.303571428571 335.14880952381 63.7406387761996 0.568665533829734 0.62651838655726
"14" 279.857142857143 339.690476190476 65.4548352682311 0.677990879053379 0.169720650476628
